2016-03-10 12:56:42,899 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "25?C" (QoS: 1, retained: false)
2016-03-10 12:56:43,796 INFO  - Client C4-8E-8F-B0-48-13-sub disconnected
2016-03-10 12:56:45,735 INFO  - Client C4-8E-8F-B0-48-13-pub disconnected
2016-03-10 12:57:21,689 INFO  - Client C4-8E-8F-B0-48-13-pub connected
2016-03-10 12:57:21,693 INFO  - Client C4-8E-8F-B0-48-13-pub set Last Will and Testament. Topic: "home/LWT", Payload: "[73, 39, 109, 32, 103, 111, 110, 101, 32, 58, 40]", QoS: 0, retain: false
2016-03-10 12:57:21,816 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "47%" (QoS: 1, retained: false)
2016-03-10 12:57:22,403 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "27?C" (QoS: 1, retained: false)
2016-03-10 12:57:27,474 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "25%" (QoS: 1, retained: false)
2016-03-10 12:57:28,035 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "23?C" (QoS: 1, retained: false)
2016-03-10 12:57:29,868 INFO  - Client C4-8E-8F-B0-48-13-pub disconnected
2016-03-10 12:59:28,239 INFO  - Client C4-8E-8F-B0-48-13-pub connected
2016-03-10 12:59:28,243 INFO  - Client C4-8E-8F-B0-48-13-pub set Last Will and Testament. Topic: "home/LWT", Payload: "[73, 39, 109, 32, 103, 111, 110, 101, 32, 58, 40]", QoS: 0, retain: false
2016-03-10 12:59:28,436 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "31%" (QoS: 1, retained: false)
2016-03-10 12:59:29,079 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "30?C" (QoS: 1, retained: false)
2016-03-10 12:59:33,370 INFO  - Client C4-8E-8F-B0-48-13-sub connected
2016-03-10 12:59:33,422 INFO  - Subscribe from client C4-8E-8F-B0-48-13-sub received: home/# QoS: 1
2016-03-10 12:59:34,255 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "68%" (QoS: 1, retained: false)
2016-03-10 12:59:34,807 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "25?C" (QoS: 1, retained: false)
2016-03-10 12:59:39,873 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "3%" (QoS: 1, retained: false)
2016-03-10 12:59:40,507 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "21?C" (QoS: 1, retained: false)
2016-03-10 12:59:45,844 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "92%" (QoS: 1, retained: false)
2016-03-10 12:59:46,405 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "21?C" (QoS: 1, retained: false)
2016-03-10 12:59:47,274 INFO  - Client C4-8E-8F-B0-48-13-sub disconnected
2016-03-10 12:59:48,418 INFO  - Client C4-8E-8F-B0-48-13-pub disconnected
2016-03-10 13:00:29,308 INFO  - Client C4-8E-8F-B0-48-13-pub connected
2016-03-10 13:00:29,312 INFO  - Client C4-8E-8F-B0-48-13-pub set Last Will and Testament. Topic: "home/LWT", Payload: "[73, 39, 109, 32, 103, 111, 110, 101, 32, 58, 40]", QoS: 0, retain: false
2016-03-10 13:00:29,445 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "84%" (QoS: 1, retained: false)
2016-03-10 13:00:30,109 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "21?C" (QoS: 1, retained: false)
2016-03-10 13:00:34,033 INFO  - Client C4-8E-8F-B0-48-13-sub connected
2016-03-10 13:00:34,150 INFO  - Subscribe from client C4-8E-8F-B0-48-13-sub received: home/# QoS: 1
2016-03-10 13:00:35,192 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "99%" (QoS: 1, retained: false)
2016-03-10 13:00:35,760 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "20?C" (QoS: 1, retained: false)
2016-03-10 13:00:36,786 INFO  - Client C4-8E-8F-B0-48-13-sub disconnected
2016-03-10 13:00:38,893 INFO  - Client C4-8E-8F-B0-48-13-pub disconnected
2016-03-10 13:05:32,238 INFO  - Client C4-8E-8F-B0-48-13-pub connected
2016-03-10 13:05:32,242 INFO  - Client C4-8E-8F-B0-48-13-pub set Last Will and Testament. Topic: "home/LWT", Payload: "[73, 39, 109, 32, 103, 111, 110, 101, 32, 58, 40]", QoS: 0, retain: false
2016-03-10 13:05:32,373 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "92%" (QoS: 1, retained: false)
2016-03-10 13:05:32,941 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "23?C" (QoS: 1, retained: false)
2016-03-10 13:05:36,994 INFO  - Client C4-8E-8F-B0-48-13-sub connected
2016-03-10 13:05:37,138 INFO  - Subscribe from client C4-8E-8F-B0-48-13-sub received: home/# QoS: 1
2016-03-10 13:05:38,079 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "92%" (QoS: 1, retained: false)
2016-03-10 13:05:39,047 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "27?C" (QoS: 1, retained: false)
2016-03-10 13:05:44,167 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "48%" (QoS: 1, retained: false)
2016-03-10 13:05:44,742 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "30?C" (QoS: 1, retained: false)
2016-03-10 13:05:49,855 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "98%" (QoS: 1, retained: false)
2016-03-10 13:05:50,476 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "25?C" (QoS: 1, retained: false)
2016-03-10 13:05:54,747 INFO  - Client C4-8E-8F-B0-48-13-sub disconnected
2016-03-10 13:05:55,545 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "74%" (QoS: 1, retained: false)
2016-03-10 13:05:55,969 INFO  - Client C4-8E-8F-B0-48-13-pub disconnected
2016-03-10 13:07:11,684 INFO  - Client C4-8E-8F-B0-48-13-pub connected
2016-03-10 13:07:11,687 INFO  - Client C4-8E-8F-B0-48-13-pub set Last Will and Testament. Topic: "home/LWT", Payload: "[73, 39, 109, 32, 103, 111, 110, 101, 32, 58, 40]", QoS: 0, retain: false
2016-03-10 13:07:11,906 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "3%" (QoS: 1, retained: false)
2016-03-10 13:07:12,445 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "30?C" (QoS: 1, retained: false)
2016-03-10 13:07:17,645 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "17%" (QoS: 1, retained: false)
2016-03-10 13:07:18,287 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "29?C" (QoS: 1, retained: false)
2016-03-10 13:07:19,735 INFO  - Client C4-8E-8F-B0-48-13-sub connected
2016-03-10 13:07:19,852 INFO  - Subscribe from client C4-8E-8F-B0-48-13-sub received: home/# QoS: 1
2016-03-10 13:07:23,390 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "94%" (QoS: 1, retained: false)
2016-03-10 13:07:24,024 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "30?C" (QoS: 1, retained: false)
2016-03-10 13:07:29,100 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "21%" (QoS: 1, retained: false)
2016-03-10 13:07:29,663 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "22?C" (QoS: 1, retained: false)
2016-03-10 13:07:30,645 INFO  - Client C4-8E-8F-B0-48-13-sub disconnected
2016-03-10 13:07:34,730 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "11%" (QoS: 1, retained: false)
2016-03-10 13:07:35,303 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "25?C" (QoS: 1, retained: false)
2016-03-10 13:07:36,982 INFO  - Client C4-8E-8F-B0-48-13-pub disconnected
2016-03-10 13:07:44,295 INFO  - Client C4-8E-8F-B0-48-13-pub connected
2016-03-10 13:07:44,299 INFO  - Client C4-8E-8F-B0-48-13-pub set Last Will and Testament. Topic: "home/LWT", Payload: "[73, 39, 109, 32, 103, 111, 110, 101, 32, 58, 40]", QoS: 0, retain: false
2016-03-10 13:07:44,424 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "61%" (QoS: 1, retained: false)
2016-03-10 13:07:45,019 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "28?C" (QoS: 1, retained: false)
2016-03-10 13:07:50,087 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "13%" (QoS: 1, retained: false)
2016-03-10 13:07:50,662 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "20?C" (QoS: 1, retained: false)
2016-03-10 13:07:53,082 INFO  - Client C4-8E-8F-B0-48-13-sub connected
2016-03-10 13:07:53,157 INFO  - Subscribe from client C4-8E-8F-B0-48-13-sub received: home/# QoS: 1
2016-03-10 13:07:55,760 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "74%" (QoS: 1, retained: false)
2016-03-10 13:07:56,351 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "29?C" (QoS: 1, retained: false)
2016-03-10 13:08:01,469 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "99%" (QoS: 1, retained: false)
2016-03-10 13:08:01,556 INFO  - Client C4-8E-8F-B0-48-13-sub disconnected
2016-03-10 13:08:02,017 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "20?C" (QoS: 1, retained: false)
2016-03-10 13:08:07,076 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "20%" (QoS: 1, retained: false)
2016-03-10 13:08:07,641 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "21?C" (QoS: 1, retained: false)
2016-03-10 13:08:08,894 INFO  - Client C4-8E-8F-B0-48-13-sub connected
2016-03-10 13:08:08,956 INFO  - Subscribe from client C4-8E-8F-B0-48-13-sub received: home/# QoS: 1
2016-03-10 13:08:12,746 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "67%" (QoS: 1, retained: false)
2016-03-10 13:08:13,335 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "27?C" (QoS: 1, retained: false)
2016-03-10 13:08:18,399 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "9%" (QoS: 1, retained: false)
2016-03-10 13:08:19,012 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "26?C" (QoS: 1, retained: false)
2016-03-10 13:08:21,802 INFO  - Client C4-8E-8F-B0-48-13-sub disconnected
2016-03-10 13:08:23,375 INFO  - Client C4-8E-8F-B0-48-13-pub disconnected
2016-03-10 13:20:15,413 INFO  - Starting HiveMQ Server
2016-03-10 13:20:15,428 INFO  - HiveMQ version: 3.1.0
2016-03-10 13:20:15,435 INFO  - HiveMQ home directory: C:\Users\Kevin\Documents\6-bachelorproef\MQTT_broker
2016-03-10 13:20:15,956 INFO  - This node's cluster-ID is h0eaE
2016-03-10 13:20:26,391 INFO  - Loaded Plugin HiveMQ JMX Metrics Reporting Plugin - v3.0.0
2016-03-10 13:20:26,397 INFO  - Loaded Plugin HiveMQ Sys Topic Plugin - v3.0.0
2016-03-10 13:20:26,402 INFO  - Loaded Plugin HiveMQ MQTT Message Log Plugin - v3.0.0
2016-03-10 13:20:26,447 INFO  - JMX Metrics Reporting started.
2016-03-10 13:20:26,463 INFO  - Starting TCP listener on address 0.0.0.0 and port 1883
2016-03-10 13:20:26,689 INFO  - Started TCP Listener on address 0.0.0.0 and on port 1883
2016-03-10 13:20:26,696 INFO  - Started HiveMQ in 11273ms
2016-03-10 13:20:33,546 INFO  - No valid license file found. Using evaluation license, restricted to 25 connections.
2016-03-10 13:20:33,609 INFO  - Client C4-8E-8F-B0-48-13-pub connected
2016-03-10 13:20:33,614 INFO  - Client C4-8E-8F-B0-48-13-pub set Last Will and Testament. Topic: "home/LWT", Payload: "[73, 39, 109, 32, 103, 111, 110, 101, 32, 58, 40]", QoS: 0, retain: false
2016-03-10 13:20:33,769 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "35%" (QoS: 1, retained: false)
2016-03-10 13:20:34,384 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "27?C" (QoS: 1, retained: false)
2016-03-10 13:20:37,570 INFO  - Client C4-8E-8F-B0-48-13-sub connected
2016-03-10 13:20:37,658 INFO  - Subscribe from client C4-8E-8F-B0-48-13-sub received: home/# QoS: 1
2016-03-10 13:20:39,482 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "68%" (QoS: 1, retained: false)
2016-03-10 13:20:40,082 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "28?C" (QoS: 1, retained: false)
2016-03-10 13:20:45,157 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/brightness": "33%" (QoS: 1, retained: false)
2016-03-10 13:20:45,706 INFO  - Client C4-8E-8F-B0-48-13-pub sent a message to topic "home/temperature": "20?C" (QoS: 1, retained: false)
2016-03-10 13:20:46,336 INFO  - Client C4-8E-8F-B0-48-13-sub disconnected
2016-03-10 13:20:47,315 INFO  - Client C4-8E-8F-B0-48-13-pub disconnected
2016-03-10 13:26:10,427 INFO  - Starting HiveMQ Server
2016-03-10 13:26:10,439 INFO  - HiveMQ version: 3.1.0
2016-03-10 13:26:10,446 INFO  - HiveMQ home directory: C:\Users\Kevin\Documents\6-bachelorproef\MQTT_broker
2016-03-10 13:26:10,991 INFO  - This node's cluster-ID is nDpAb
